CMDLINE D:\Programs\Anaconda\Bin\envs\MyEnvNN_torch_MRI\python.exe MemoryTest.py
MEM 2674.824219 1584624665.1640
MEM 2674.843750 1584624665.2648
MEM 2674.843750 1584624665.3655
MEM 2674.843750 1584624665.4663
MEM 2674.843750 1584624665.5670
MEM 2674.843750 1584624665.6677
MEM 2674.843750 1584624665.7684
MEM 2674.843750 1584624665.8692
MEM 2674.843750 1584624665.9699
MEM 2674.843750 1584624666.0706
MEM 2674.843750 1584624666.1714
MEM 2674.843750 1584624666.2721
MEM 2674.843750 1584624666.3728
MEM 2674.843750 1584624666.4736
MEM 2674.843750 1584624666.5743
MEM 2674.843750 1584624666.6750
MEM 2674.843750 1584624666.7757
MEM 2674.847656 1584624666.8765
MEM 2674.847656 1584624666.9772
MEM 2674.847656 1584624667.0779
MEM 2674.847656 1584624667.1786
MEM 2674.847656 1584624667.2794
MEM 2674.847656 1584624667.3802
MEM 2674.847656 1584624667.4809
MEM 2674.847656 1584624667.5818
MEM 2877.390625 1584624667.6825
MEM 3120.582031 1584624667.7832
MEM 3364.144531 1584624667.8840
MEM 3606.738281 1584624667.9847
MEM 3834.609375 1584624668.0854
MEM 4048.230469 1584624668.1862
MEM 4212.890625 1584624668.2869
MEM 3597.714844 1584624668.3877
MEM 3687.105469 1584624668.4884
MEM 3986.886719 1584624668.5891
MEM 4125.054688 1584624668.6899
MEM 4125.054688 1584624668.7906
MEM 4125.054688 1584624668.8913
MEM 4125.054688 1584624668.9921
MEM 4125.054688 1584624669.0928
MEM 4125.054688 1584624669.1935
MEM 4125.054688 1584624669.2943
MEM 4125.054688 1584624669.3950
MEM 4125.054688 1584624669.4957
MEM 4125.054688 1584624669.5964
MEM 4125.054688 1584624669.6971
MEM 4125.054688 1584624669.7979
MEM 4125.054688 1584624669.8986
MEM 4125.054688 1584624669.9994
MEM 4125.054688 1584624670.1001
MEM 4125.054688 1584624670.2008
MEM 4125.054688 1584624670.3016
MEM 4125.054688 1584624670.4023
MEM 4125.054688 1584624670.5030
MEM 4125.054688 1584624670.6037
MEM 4125.054688 1584624670.7045
MEM 4125.054688 1584624670.8052
MEM 4125.054688 1584624670.9059
MEM 4125.054688 1584624671.0067
MEM 4125.054688 1584624671.1074
MEM 4125.054688 1584624671.2081
MEM 4125.054688 1584624671.3089
MEM 4125.054688 1584624671.4096
MEM 4125.054688 1584624671.5103
MEM 4125.054688 1584624671.6111
MEM 4125.054688 1584624671.7118
MEM 4125.054688 1584624671.8125
MEM 4125.054688 1584624671.9132
MEM 4125.054688 1584624672.0140
MEM 4125.054688 1584624672.1147
MEM 4125.054688 1584624672.2154
MEM 4125.054688 1584624672.3161
MEM 4125.054688 1584624672.4169
MEM 4125.054688 1584624672.5176
MEM 4125.054688 1584624672.6184
MEM 4125.054688 1584624672.7191
MEM 4125.054688 1584624672.8198
MEM 4125.054688 1584624672.9206
MEM 4125.054688 1584624673.0213
MEM 4125.054688 1584624673.1220
MEM 4125.054688 1584624673.2228
MEM 4125.054688 1584624673.3235
MEM 4125.054688 1584624673.4242
