CMDLINE E:\Software\Anaconda\envs\MyEnvNN_torch_MRI\python.exe MemoryTest.py
MEM 2674.898438 1584630154.8241
MEM 2674.902344 1584630154.9334
MEM 2674.929688 1584630155.0428
MEM 2674.929688 1584630155.1521
MEM 2674.929688 1584630155.2615
MEM 2674.929688 1584630155.3708
MEM 2674.929688 1584630155.4802
MEM 2674.929688 1584630155.5895
MEM 2674.929688 1584630155.6989
MEM 2674.929688 1584630155.8082
MEM 2674.929688 1584630155.9176
MEM 2674.929688 1584630156.0269
MEM 2674.929688 1584630156.1363
MEM 2674.929688 1584630156.2456
MEM 2674.929688 1584630156.3550
MEM 2674.929688 1584630156.4643
MEM 2674.929688 1584630156.5737
MEM 2674.929688 1584630156.6830
MEM 2674.929688 1584630156.7924
MEM 2674.929688 1584630156.9031
MEM 2674.929688 1584630157.0135
MEM 2674.929688 1584630157.1229
MEM 2674.929688 1584630157.2322
MEM 2674.929688 1584630157.3416
MEM 2674.929688 1584630157.4509
MEM 2674.929688 1584630157.5603
MEM 2674.929688 1584630157.6696
MEM 2674.929688 1584630157.7790
MEM 2674.929688 1584630157.8883
MEM 2674.929688 1584630157.9977
MEM 2674.929688 1584630158.1070
MEM 2674.929688 1584630158.2164
MEM 2674.929688 1584630158.3257
MEM 2674.929688 1584630158.4351
MEM 2674.929688 1584630158.5444
MEM 2674.945312 1584630158.6538
MEM 2674.964844 1584630158.7631
MEM 2674.964844 1584630158.8725
MEM 2674.964844 1584630158.9818
MEM 2674.964844 1584630159.0912
MEM 2674.964844 1584630159.2005
MEM 2674.964844 1584630159.3099
MEM 2674.964844 1584630159.4192
MEM 2674.964844 1584630159.5298
MEM 2674.964844 1584630159.6392
MEM 2674.964844 1584630159.7496
MEM 2674.964844 1584630159.8589
MEM 2674.964844 1584630159.9683
MEM 2674.964844 1584630160.0776
MEM 2674.964844 1584630160.1870
MEM 2674.964844 1584630160.2963
MEM 2674.964844 1584630160.4057
MEM 2674.964844 1584630160.5150
MEM 2674.964844 1584630160.6244
MEM 2674.964844 1584630160.7337
MEM 2674.964844 1584630160.8431
MEM 2674.972656 1584630160.9524
MEM 2674.976562 1584630161.0618
MEM 2674.976562 1584630161.1711
MEM 2674.976562 1584630161.2805
MEM 2674.976562 1584630161.3898
MEM 2674.976562 1584630161.4992
MEM 2674.976562 1584630161.6085
MEM 2674.976562 1584630161.7179
MEM 2760.843750 1584630161.8272
MEM 3020.378906 1584630161.9366
MEM 3280.312500 1584630162.0459
MEM 3540.160156 1584630162.1553
MEM 3792.605469 1584630162.2646
MEM 4023.511719 1584630162.3752
MEM 4254.312500 1584630162.4847
MEM 3597.843750 1584630162.5950
MEM 3757.769531 1584630162.7044
MEM 4090.593750 1584630162.8137
MEM 4125.183594 1584630162.9231
MEM 4125.183594 1584630163.0324
MEM 4125.183594 1584630163.1418
MEM 4125.183594 1584630163.2511
MEM 4125.183594 1584630163.3605
MEM 4125.183594 1584630163.4698
MEM 4125.183594 1584630163.5792
MEM 4125.183594 1584630163.6885
MEM 4125.183594 1584630163.7979
MEM 4125.183594 1584630163.9072
MEM 4125.183594 1584630164.0166
MEM 4125.183594 1584630164.1259
MEM 4125.183594 1584630164.2353
MEM 4125.183594 1584630164.3446
MEM 4125.183594 1584630164.4540
MEM 4125.183594 1584630164.5647
MEM 4125.183594 1584630164.6751
MEM 4125.183594 1584630164.7844
MEM 4125.183594 1584630164.8938
MEM 4125.183594 1584630165.0035
MEM 4125.183594 1584630165.1138
MEM 4125.183594 1584630165.2243
MEM 4125.183594 1584630165.3336
MEM 4125.183594 1584630165.4430
MEM 4125.183594 1584630165.5523
MEM 4125.183594 1584630165.6617
MEM 4125.183594 1584630165.7710
MEM 4125.183594 1584630165.8804
MEM 4125.183594 1584630165.9897
MEM 4125.183594 1584630166.0991
MEM 4125.183594 1584630166.2084
MEM 4125.183594 1584630166.3178
MEM 4125.183594 1584630166.4271
MEM 4125.183594 1584630166.5365
MEM 4125.183594 1584630166.6458
MEM 4125.183594 1584630166.7552
MEM 4125.183594 1584630166.8645
MEM 4125.183594 1584630166.9739
MEM 4125.183594 1584630167.0832
MEM 4125.183594 1584630167.1926
MEM 4125.183594 1584630167.3019
MEM 4125.183594 1584630167.4113
MEM 4125.183594 1584630167.5206
MEM 4125.183594 1584630167.6300
MEM 4125.183594 1584630167.7393
MEM 4125.183594 1584630167.8487
MEM 4125.183594 1584630167.9580
MEM 4125.183594 1584630168.0674
MEM 4125.183594 1584630168.1767
MEM 4125.183594 1584630168.2861
MEM 4125.183594 1584630168.3954
MEM 4125.183594 1584630168.5048
MEM 4125.183594 1584630168.6141
MEM 4125.183594 1584630168.7235
MEM 4125.183594 1584630168.8328
MEM 4125.183594 1584630168.9422
MEM 4125.183594 1584630169.0515
MEM 4125.183594 1584630169.1609
MEM 4125.183594 1584630169.2702
MEM 4125.183594 1584630169.3796
MEM 4125.187500 1584630169.4901
MEM 4125.187500 1584630169.5995
MEM 4125.187500 1584630169.7099
MEM 4125.187500 1584630169.8192
MEM 4125.187500 1584630169.9286
MEM 4125.187500 1584630170.0379
MEM 4125.187500 1584630170.1473
MEM 4272.878906 1584630170.2566
MEM 4541.195312 1584630170.3660
MEM 4813.007812 1584630170.4753
MEM 5079.687500 1584630170.5847
MEM 5327.929688 1584630170.6940
MEM 5561.546875 1584630170.8034
MEM 5182.988281 1584630170.9127
MEM 5055.199219 1584630171.0221
MEM 5269.710938 1584630171.1314
MEM 5580.261719 1584630171.2408
MEM 5575.503906 1584630171.3501
MEM 5575.503906 1584630171.4595
MEM 5575.503906 1584630171.5688
MEM 5575.503906 1584630171.6782
MEM 5575.503906 1584630171.7875
MEM 5582.542969 1584630171.8969
MEM 5582.542969 1584630172.0062
MEM 5582.542969 1584630172.1156
